Player name,Age,club,market value,League,position
Malick Fofana,18,Olympique Lyon,8.0,Ligue 1,Right Winger
Nikola Vlašić,25,Torino FC,17.0,Serie A,Attacking Midfield
Nicolás Domínguez,25,Nottingham Forest,17.0,Premier League,Central Midfield
Timo Werner,27,Tottenham Hotspur,17.0,Premier League,Centre-Forward
Aaron Ramsey,20,Burnley FC,5.0,Premier League,Attacking Midfield
Guglielmo Vicario,26,Tottenham Hotspur,16.0,Premier League,Goalkeeper
Georges Mikautadze,22,Ajax Amsterdam,10.0,Eredivisie,Centre-Forward
Deivid Washington,18,Chelsea FC,4.0,Premier League,Centre-Forward
Jordan Beyer,23,Burnley FC,16.0,Premier League,Centre-Back
Mateo Retegui,24,Genoa CFC,16.0,Serie A,Centre-Forward
Max Aarons,23,AFC Bournemouth,16.0,Premier League,Right-Back
Mateo Retegui,24,Club Atlético Tigre,16.0,Copa de la Liga,Centre-Forward
Sergi Darder,29,RCD Mallorca,16.0,LaLiga,Central Midfield
Odysseas Vlachodimos,29,Nottingham Forest,16.0,Premier League,Goalkeeper
Hakim Ziyech,30,Galatasaray,16.0,Süper Lig,Right Winger
Ben Brereton Díaz,24,Villarreal CF,16.0,LaLiga,Left Winger
Fábio Carvalho,20,RB Leipzig,16.0,Bundesliga,Attacking Midfield
Niclas Füllkrug,30,Borussia Dortmund,13.0,Bundesliga,Centre-Forward
Alejo Véliz,19,Tottenham Hotspur,7.0,Premier League,Centre-Forward
Fabian Rieder,21,Stade Rennais FC,15.0,Ligue 1,Attacking Midfield
Taty Castellanos,24,SS Lazio,15.0,Serie A,Centre-Forward
Jean-Ricner Bellegarde,25,Wolverhampton Wanderers,10.0,Premier League,Central Midfield
Ângelo,18,Chelsea FC,13.0,Premier League,Right Winger
Artur,25,Zenit St. Petersburg,10.0,Premier Liga,Right Winger
Romain Faivre,24,AFC Bournemouth,10.0,Premier League,Right Midfield
Hákon Arnar Haraldsson,20,LOSC Lille,6.0,Ligue 1,Left Winger
Abdou Diallo,27,Al-Arabi SC,10.0,Stars League,Centre-Back
El Chadaille Bitshiabu,18,RB Leipzig,7.0,Bundesliga,Centre-Back
Robin Gosens,29,1.FC Union Berlin,15.0,Bundesliga,Left Midfield
Arsen Zakharyan,20,Real Sociedad,15.0,LaLiga,Attacking Midfield
Noa Lang,24,PSV Eindhoven,15.0,Eredivisie,Left Winger
Matteo Pessina,26,AC Monza,15.0,Serie A,Central Midfield
Giovanni Simeone,27,SSC Napoli,15.0,Serie A,Centre-Forward
Anton Stach,24,TSG 1899 Hoffenheim,15.0,Bundesliga,Central Midfield
Ruslan Malinovskyi,30,Olympique Marseille,15.0,Ligue 1,Attacking Midfield
Sergio Canales,32,CF Monterrey,15.0,Liga MX Apertura,Attacking Midfield
Davinson Sánchez,27,Galatasaray,15.0,Süper Lig,Centre-Back
Iván Fresneda,18,Sporting CP,15.0,Liga Portugal,Right-Back
Artem Dovbyk,26,Girona FC,15.0,LaLiga,Centre-Forward
Diogo Leite,24,1.FC Union Berlin,15.0,Bundesliga,Centre-Back
Abde Ezzalzouli,21,Real Betis Balompié,15.0,LaLiga,Left Winger
Trincão,23,Sporting CP,15.0,Liga Portugal,Left Winger
Callum Hudson-Odoi,22,Nottingham Forest,15.0,Premier League,Left Winger
Arthur Melo,26,ACF Fiorentina,15.0,Serie A,Central Midfield
Renato Sanches,25,AS Roma,15.0,Serie A,Central Midfield
Maxime López,25,ACF Fiorentina,15.0,Serie A,Defensive Midfield
Alexis Saelemaekers,24,Bologna FC 1909,15.0,Serie A,Right Winger
Çağlar Söyüncü,27,Atlético de Madrid,15.0,LaLiga,Centre-Back
Carlos Augusto,24,Inter Milan,15.0,Serie A,Left Midfield
Ruslan Malinovskyi,30,Genoa CFC,15.0,Serie A,Attacking Midfield
André Silva,27,Real Sociedad,15.0,LaLiga,Centre-Forward
Andrey Santos,19,Nottingham Forest,15.0,Premier League,Defensive Midfield
Albert Sambi Lokonga,23,Luton Town,15.0,Premier League,Central Midfield
Mike Trésor,24,Burnley FC,15.0,Premier League,Left Winger
N'Golo Kanté,32,Al-Ittihad Club,15.0,Saudi Pro League,Defensive Midfield
Nicolás de la Cruz,26,CR Flamengo,14.0,Série A,Central Midfield
Jérémie Boga,26,OGC Nice,14.0,Ligue 1,Left Winger
David Jurásek,22,SL Benfica,5.0,Liga Portugal,Left-Back
Joël Piroe,24,Leeds United,10.0,Championship,Centre-Forward
Mergim Berisha,25,TSG 1899 Hoffenheim,12.0,Bundesliga,Centre-Forward
Carlos Forbs,19,Ajax Amsterdam,10.0,Eredivisie,Left Winger
Djordje Petrovic,23,Chelsea FC,6.0,Premier League,Goalkeeper
César Montes,26,UD Almería,8.0,LaLiga,Centre-Back
Jordan Henderson,33,Al-Ettifaq FC,10.0,Saudi Pro League,Central Midfield
Attila Szalai,25,TSG 1899 Hoffenheim,14.0,Bundesliga,Centre-Back
Joakim Maehle,26,VfL Wolfsburg,14.0,Bundesliga,Right-Back
Timothy Weah,23,Juventus FC,14.0,Serie A,Right Midfield
Justin Kluivert,24,AFC Bournemouth,14.0,Premier League,Left Winger
Serhou Guirassy,27,VfB Stuttgart,14.0,Bundesliga,Centre-Forward
Geoffrey Kondogbia,30,Olympique Marseille,14.0,Ligue 1,Defensive Midfield
Stefan Posch,26,Bologna FC 1909,14.0,Serie A,Right-Back
Maximilian Wöber,25,Borussia Mönchengladbach,14.0,Bundesliga,Centre-Back
Fábio Carvalho,21,Hull City,14.0,Championship,Attacking Midfield
Emanuel Emegha,20,RC Strasbourg Alsace,8.0,Ligue 1,Centre-Forward
Mark Flekken,30,Brentford FC,10.0,Premier League,Goalkeeper
Jonas Hofmann,30,Bayer 04 Leverkusen,13.0,Bundesliga,Attacking Midfield
Fran Navarro,25,FC Porto,13.0,Liga Portugal,Centre-Forward
Paul Onuachu,29,Trabzonspor,13.0,Süper Lig,Centre-Forward
Houssem Aouar,25,AS Roma,13.0,Serie A,Central Midfield
Rasmus Kristensen,26,AS Roma,13.0,Serie A,Right-Back
Ellyes Skhiri,28,Eintracht Frankfurt,13.0,Bundesliga,Defensive Midfield
Fábio Silva,21,Rangers FC,13.0,Premiership,Centre-Forward
Andrew Omobamidele,21,Nottingham Forest,6.0,Premier League,Centre-Back
Chermiti,19,Everton FC,3.0,Premier League,Centre-Forward
Vini Souza,24,Sheffield United,6.0,Premier League,Defensive Midfield
Gastón Ávila,21,Ajax Amsterdam,3.5,Eredivisie,Left-Back
Chuba Akpom,27,Ajax Amsterdam,12.0,Eredivisie,Centre-Forward
Shea Charles,19,Southampton FC,,Championship,Defensive Midfield
El Bilal Touré,21,Atalanta BC,12.0,Serie A,Centre-Forward
Lucas Beltrán,22,ACF Fiorentina,12.0,Serie A,Centre-Forward
Loïc Badé,23,Sevilla FC,12.0,LaLiga,Centre-Back
Jerdy Schouten,26,PSV Eindhoven,12.0,Eredivisie,Defensive Midfield
Gustav Isaksen,22,SS Lazio,7.5,Serie A,Right Winger
Santiago Bueno,24,Wolverhampton Wanderers,8.0,Premier League,Centre-Back
Gonzalo Plata,22,Al-Sadd SC,5.0,Stars League,Right Winger
Murillo,21,Nottingham Forest,3.5,Premier League,Centre-Back
Anastasios Douvikas,24,Celta de Vigo,9.0,LaLiga,Centre-Forward
Wilson Odobert,18,Burnley FC,6.0,Premier League,Right Winger
Joseph Okumu,26,Stade Reims,4.0,Ligue 1,Centre-Back
Keito Nakamura,23,Stade Reims,8.0,Ligue 1,Left Winger
Mohamed Daramy,21,Stade Reims,6.0,Ligue 1,Left Winger
Jens Cajuste,24,SSC Napoli,6.0,Serie A,Central Midfield
Kristjan Asllani,21,Inter Milan,12.0,Serie A,Defensive Midfield
Wilfried Singo,22,AS Monaco,12.0,Ligue 1,Centre-Back
Dodi Lukébakio,25,Sevilla FC,12.0,LaLiga,Right Winger
Alexander Sørloth,27,Villarreal CF,12.0,LaLiga,Centre-Forward
Conor Coady,30,Leicester City,12.0,Championship,Centre-Back
Borna Sosa,25,Ajax Amsterdam,12.0,Eredivisie,Left-Back
Luka Ivanusec,24,Feyenoord Rotterdam,12.0,Eredivisie,Left Winger
Dominik Livakovic,28,Fenerbahce,12.0,Süper Lig,Goalkeeper
Javi Galán,28,Atlético de Madrid,12.0,LaLiga,Left-Back
Amine Harit,26,Olympique Marseille,12.0,Ligue 1,Attacking Midfield
Fran García,23,Real Madrid,12.0,LaLiga,Left-Back
Mergim Berisha,25,FC Augsburg,12.0,Bundesliga,Centre-Forward
Leandro Paredes,29,AS Roma,12.0,Serie A,Defensive Midfield
Joaquín Correa,29,Olympique Marseille,12.0,Ligue 1,Second Striker
Angeliño,26,Galatasaray,12.0,Süper Lig,Left-Back
Wout Weghorst,31,TSG 1899 Hoffenheim,12.0,Bundesliga,Centre-Forward
José Cifuentes,24,Rangers FC,12.0,Premiership,Central Midfield
Victor Kristiansen,20,Bologna FC 1909,12.0,Serie A,Left-Back
Juanmi,30,Al-Riyadh SC,12.0,Saudi Pro League,Left Winger
Marquinhos,20,FC Nantes,12.0,Ligue 1,Right Winger
Sardar Azmoun,28,AS Roma,12.0,Serie A,Centre-Forward
Josip Stanisic,23,Bayer 04 Leverkusen,12.0,Bundesliga,Right-Back
Naby Keïta,28,SV Werder Bremen,12.0,Bundesliga,Central Midfield
Daniel Amartey,28,Besiktas JK,12.0,Süper Lig,Centre-Back
Luke Thomas,22,Sheffield United,12.0,Premier League,Left-Back
James McAtee,20,Sheffield United,12.0,Premier League,Central Midfield
Romain Perraud,25,OGC Nice,12.0,Ligue 1,Left-Back
Branco van den Boomen,27,Ajax Amsterdam,12.0,Eredivisie,Central Midfield
Gonzalo Montiel,26,Nottingham Forest,12.0,Premier League,Right-Back
Cesare Casadei,20,Leicester City,12.0,Championship,Central Midfield
Mahmoud Dahoud,27,Brighton & Hove Albion,12.0,Premier League,Central Midfield
Charlie Patino,19,Swansea City,12.0,Championship,Central Midfield
Moussa Dembélé,27,Al-Ettifaq FC,12.0,Saudi Pro League,Centre-Forward
Faisal Al-Ghamdi,22,Al-Ittihad Club,0.3,Saudi Pro League,Central Midfield
Harry Winks,27,Leicester City,10.0,Championship,Defensive Midfield
Hassan Tambakti,24,Al-Hilal SFC,2.0,Saudi Pro League,Centre-Back
Ricardo Pepi,20,PSV Eindhoven,9.0,Eredivisie,Centre-Forward
Boubacar Traoré,21,Wolverhampton Wanderers,5.0,Premier League,Defensive Midfield
Willian Pacho,21,Eintracht Frankfurt,11.0,Bundesliga,Centre-Back
Musa Barrow,24,Al-Taawoun FC,11.0,Saudi Pro League,Left Winger
Nino,26,Zenit St. Petersburg,11.0,Premier Liga,Centre-Back
Altay Bayındır,25,Manchester United,11.0,Premier League,Goalkeeper
Duje Caleta-Car,26,Olympique Lyon,11.0,Ligue 1,Centre-Back
Sasa Kalajdzic,26,Eintracht Frankfurt,11.0,Bundesliga,Centre-Forward
Tomas Cvancara,22,Borussia Mönchengladbach,4.0,Bundesliga,Centre-Forward
Kevin Álvarez,24,CF América,7.0,Liga MX Apertura,Right-Back
Igor,25,Brighton & Hove Albion,10.0,Premier League,Centre-Back
Farès Chaïbi,20,Eintracht Frankfurt,10.0,Bundesliga,Attacking Midfield
Bitello,23,Dynamo Moscow,7.0,Premier Liga,Central Midfield
Brenner,23,Udinese Calcio,8.0,Serie A,Centre-Forward
Mohamed-Ali Cho,19,OGC Nice,8.0,Ligue 1,Centre-Forward
Fabiano Parisi,22,ACF Fiorentina,10.0,Serie A,Left-Back
Dilane Bakwa,20,RC Strasbourg Alsace,4.0,Ligue 1,Left Winger
Junior Mwanga,20,RC Strasbourg Alsace,4.0,Ligue 1,Centre-Back
Iván Jaime,22,FC Porto,5.0,Liga Portugal,Attacking Midfield
Andrea Petagna,28,AC Monza,10.0,Serie A,Centre-Forward
Gabriel Pereira,21,Al-Rayyan SC,5.0,Stars League,Right Winger
Natan,22,SSC Napoli,5.5,Serie A,Centre-Back
Daniel Boloca,24,US Sassuolo,3.5,Serie A,Central Midfield
Róger Guedes,26,Al-Rayyan SC,10.0,Stars League,Left Winger
Giovani,19,Al-Sadd SC,10.0,Stars League,Right Winger
Nico González,21,FC Porto,10.0,Liga Portugal,Central Midfield
Rodrigo Becão,27,Fenerbahce,10.0,Süper Lig,Centre-Back
Franck Honorat,26,Borussia Mönchengladbach,10.0,Bundesliga,Right Winger
Julian Weigl,27,Borussia Mönchengladbach,10.0,Bundesliga,Defensive Midfield
Lucas Boyé,27,Granada CF,10.0,LaLiga,Centre-Forward
Junior Dina Ebimbe,22,Eintracht Frankfurt,10.0,Bundesliga,Central Midfield
